original_title,genre_names,budget,popularity,release_date,revenue,runtime,vote_average,vote_count,keyword_names
Oz: The Great and Powerful,"Fantasy, Adventure, Family",200000000,46.985445,2013-03-07,491868548,130.0,5.7,3530,"circus, witch, magic, hope, illusion, lost, magic trick, wizard, 3d"
The Amazing Spider-Man 2,"Action, Adventure, Fantasy",200000000,89.270217,2014-04-16,705717432,142.0,6.5,4179,"obsession, marvel comic, sequel, based on comic book, electrocution, medical experiment, electricity, super powers"
TRON: Legacy,"Adventure, Action, Science Fiction",170000000,73.79505,2010-12-10,400062763,125.0,6.3,2841,"artificial intelligence, secret identity, computer program, dystopia, computer, deception, duel, motorcycle, neon light, autocracy"
Cars 2,"Animation, Family, Adventure, Comedy",200000000,49.98659,2011-06-11,559852396,106.0,5.8,2033,"car race, sequel, comedy, anthropomorphism, best friend, duringcreditsstinger"
Green Lantern,"Adventure, Action, Thriller, Science Fiction",200000000,51.872839,2011-06-16,219851172,114.0,5.1,2487,"dc comics, transformation, superhero, alien, alien infection, magical object, protector, super powers, origin, 3d"
Toy Story 3,"Animation, Family, Comedy",200000000,59.995418,2010-06-16,1066969703,103.0,7.6,4597,"hostage, college, toy, barbie, animation, escape, day care, teddy bear, duringcreditsstinger, toy comes to life, personification, inanimate objects coming to life, toy story"
Terminator Salvation,"Action, Science Fiction, Thriller",200000000,71.862892,2009-05-20,371353001,115.0,5.9,2463,"saving the world, artificial intelligence, prophecy, san francisco, cyborg, killer robot, gas station, post-apocalyptic, dystopia, army, firearm, wartime, los angeles"
Furious 7,Action,190000000,102.322217,2015-04-01,1506249360,137.0,7.3,4176,"car race, speed, revenge, suspense, car, race, muscle car"
World War Z,"Action, Drama, Horror, Science Fiction, Thriller",200000000,81.834855,2013-06-20,531865000,116.0,6.7,5560,"dystopia, apocalypse, zombie, nuclear weapons, multiple perspectives, zombie apocalypse"
X-Men: Days of Future Past,"Action, Adventure, Fantasy, Science Fiction",250000000,118.078691,2014-05-15,747862775,131.0,7.5,6032,"1970s, mutant, time travel, marvel comic, based on comic book, superhuman, storm, beast, aftercreditsstinger, changing the past or future"
Star Trek Into Darkness,"Action, Adventure, Science Fiction",190000000,78.291018,2013-05-05,467365246,132.0,7.4,4418,"spacecraft, friendship, sequel, futuristic, space, alien, imax, space opera, terrorist bombing, 3d"
Jack the Giant Slayer,"Action, Family, Fantasy",195000000,43.349855,2013-02-27,197687603,114.0,5.5,2598,"based on fairy tale, giant"
The Great Gatsby,"Drama, Romance",105000000,61.196071,2013-05-10,351040419,143.0,7.3,3769,"based on novel, infidelity, obsession, hope, 3d"
Prince of Persia: The Sands of Time,"Adventure, Fantasy, Action, Romance",150000000,62.169881,2010-05-19,335154643,116.0,6.2,2317,"persia, sandstorm, brother against brother, armageddon, regent, based on video game"
Pacific Rim,"Action, Science Fiction, Adventure",180000000,56.523205,2013-07-11,407602906,131.0,6.7,4794,"dystopia, giant robot, giant monster, apocalypse, imax, duringcreditsstinger, 3d"
Transformers: Dark of the Moon,"Action, Science Fiction, Adventure",195000000,28.529607,2011-06-28,1123746996,154.0,6.1,3299,"moon, spacecraft, traitor, bodyguard, alien planet, based on cartoon, transformers, giant robot, sabotage, word domination, commando, duringcreditsstinger"
Indiana Jones and the Kingdom of the Crystal Skull,"Adventure, Action",185000000,75.674458,2008-05-21,786636033,122.0,5.7,2495,"saving the world, riddle, whip, treasure, mexico city, leather jacket, machinegun, alien phenomenons, maya civilization, peru, treasure hunt, nuclear explosion, refrigerator, archaeologist, indiana jones, archeology "
The Good Dinosaur,"Adventure, Animation, Family",175000000,51.692953,2015-11-14,331926147,93.0,6.6,1736,"tyrannosaurus rex, friends, alternate history, dinosaur, fear, storm, nature, human, journey"
Brave,"Animation, Adventure, Comedy, Family, Action, Fantasy",185000000,125.114374,2012-06-21,538983207,93.0,6.7,4641,"scotland, rebel, bravery, kingdom, archer, wish, bear, scot, rebellious daughter, turns into animal, archery, ruins, aftercreditsstinger, peace offering, woman director, courage, 3d"
Star Trek Beyond,"Action, Adventure, Science Fiction",185000000,65.352913,2016-07-07,343471816,122.0,6.6,2568,"sequel, stranded, hatred, space opera"
WALL·E,"Animation, Family",180000000,66.390712,2008-06-22,521311860,98.0,7.8,6296,romantic comedy
Rush Hour 3,"Action, Comedy, Crime, Thriller",140000000,22.57178,2007-08-08,258022233,91.0,6.1,783,ambassador
2012,"Action, Adventure, Science Fiction",200000000,45.274225,2009-10-10,769653595,158.0,5.6,4903,"civilization, natural disaster, end of the world, disaster, apocalypse, destruction, volcanic eruption, mayan, ark, solar, destruction  of mankind"
A Christmas Carol,"Animation, Drama",200000000,39.744242,2009-11-04,325233863,96.0,6.6,1095,"holiday, based on novel, victorian england, money, christmas eve, scrooge, christmas carol, ghost, lesson, charles dickens, christmas"
Jupiter Ascending,"Science Fiction, Fantasy, Action, Adventure",176000003,85.36908,2015-02-04,183987723,124.0,5.2,2768,"jupiter, space, woman director, 3d, interspecies romance"
The Legend of Tarzan,"Action, Adventure",180000000,42.741719,2016-06-29,356743061,109.0,5.5,2430,"africa, feral child, tarzan, jungle, animal attack"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Adventure, Family, Fantasy",180000000,67.391328,2005-12-07,748806957,143.0,6.7,2629,"saving the world, witch, based on novel, brother sister relationship, self sacrifice, winter, cupboard, beaver, lion, fairy-tale figure, battle, narnia, fantasy world, duringcreditsstinger"
X-Men: Apocalypse,Science Fiction,178000000,139.272042,2016-05-18,543934787,144.0,6.4,4721,"mutant, supernatural powers, marvel comic, superhero, based on comic book, superhuman, apocalypse, superhero team, world domination, aftercreditsstinger, 1980s"
The Dark Knight,"Drama, Action, Crime, Thriller",185000000,187.322927,2008-07-16,1004558444,152.0,8.2,12002,"dc comics, crime fighter, secret identity, scarecrow, sadism, chaos, gotham city, vigilante, joker, superhero, based on comic book, tragic hero, organized crime, criminal mastermind, district attorney, imax, super villain, super powers, batman"
Up,"Animation, Comedy, Family, Adventure",175000000,92.201962,2009-05-13,735099082,96.0,7.7,6870,"age difference, central and south america, balloon, animation, floating in the air, duringcreditsstinger, exploring"
Monsters vs Aliens,"Animation, Family, Adventure, Science Fiction",175000000,36.167578,2009-03-19,381509870,94.0,6.0,1423,"alien, giant robot, duringcreditsstinger"
Iron Man,"Action, Science Fiction, Adventure",140000000,120.725053,2008-04-30,585174222,126.0,7.4,8776,"middle east, arms dealer, malibu, marvel comic, superhero, based on comic book, tony stark, iron man, aftercreditsstinger, marvel cinematic universe, counter terrorism, agent coulson"
Hugo,"Adventure, Drama, Family",170000000,32.319043,2011-11-22,185770160,126.0,7.0,2141,"library, clock, film director, key, toy, boy, love, orphan, robot, automaton, hiding, filmmaking, leg brace, doberman, 3d"
Wild Wild West,"Action, Adventure, Comedy, Science Fiction, Western",170000000,40.748915,1999-06-29,222104681,106.0,5.1,1020,"steampunk, based on tv series, steam locomotive, drag"
The Mummy: Tomb of the Dragon Emperor,"Adventure, Action, Fantasy",145000000,60.034162,2008-07-01,401128639,112.0,5.2,1387,
Suicide Squad,"Action, Adventure, Crime, Fantasy, Science Fiction",175000000,90.23792,2016-08-02,745000000,123.0,5.9,7458,"dc comics, shared universe, anti hero, secret mission, villain, superhero, supervillain, dc extended universe"
Evan Almighty,"Fantasy, Comedy, Family",175000000,27.082182,2007-06-09,173000000,96.0,5.3,1151,"father son relationship, daily life, married couple, support, father, marriage, faith, baustelle, rescue, animal, nature, duringcreditsstinger, noah's ark"
Edge of Tomorrow,"Action, Science Fiction",178000000,79.456485,2014-05-27,370541256,113.0,7.6,4858,"deja vu, time warp, restart, dystopia, war, alien, military officer, soldier, alien invasion, exoskeleton"
Waterworld,"Adventure, Action",175000000,44.640292,1995-07-28,264218220,135.0,5.9,992,"ocean, tattoo, mutant, water, dystopia, doomsday"
G.I. Joe: The Rise of Cobra,"Adventure, Action, Thriller, Science Fiction",175000000,32.852443,2009-08-04,302469017,118.0,5.6,1962,"terrorist, secret, hostage, technology, warhead, government, president, revenge, murder, attack, explosion, scientist, lasers, evil, cobra"
Inside Out,"Drama, Comedy, Animation, Family",175000000,128.655964,2015-06-09,857611174,94.0,8.0,6560,"dream, cartoon, imaginary friend, animation, family, moving, kids, unicorn, duringcreditsstinger, 3d, emotions"
The Jungle Book,"Family, Adventure, Drama, Fantasy",175000000,94.199316,2016-04-07,966550600,106.0,6.7,2892,"based on novel, snake, wolf, elephant, tiger, feral child, panther, remake, bear, jungle, talking animal, orphan, animal, talking to animals"
Iron Man 2,"Adventure, Action, Science Fiction",200000000,77.300194,2010-04-28,623933331,124.0,6.6,6849,"malibu, marvel comic, superhero, based on comic book, revenge, aftercreditsstinger, marvel cinematic universe"
Snow White and the Huntsman,"Adventure, Fantasy, Drama",170000000,77.178973,2012-05-30,396600000,127.0,5.8,3118,"queen, magic, fairy tale, immortality, forest, deception, woman, eternal youth, snow white, evil queen, evil stepmother, imprisoned, sorceress"
Maleficent,"Fantasy, Adventure, Action, Family, Romance",180000000,110.620647,2014-05-28,758539785,97.0,7.0,4496,"fairy tale, villain, sleeping beauty, dark fantasy, based on fairy tale, adaptation, retelling, literary adaptation, 3d"
Dawn of the Planet of the Apes,"Science Fiction, Action, Drama, Thriller",170000000,243.791743,2014-06-26,710644566,130.0,7.3,4410,"leader, colony, post-apocalyptic, dystopia, forest, sequel, woods, ape, scientist, monkey, medical research, animal attack, plague, 3d"
The Lovers,"Action, Adventure, Science Fiction, Romance",27000000,2.418535,2015-02-13,0,109.0,4.8,34,
47 Ronin,"Drama, Action, Adventure, Fantasy",175000000,41.796339,2013-12-06,150962475,119.0,5.9,1326,"japan, suicide, samurai, based on true story, samurai sword, ronin, shogun, half breed, 3d"
Captain America: The Winter Soldier,"Action, Adventure, Science Fiction",170000000,72.225265,2014-03-20,714766572,136.0,7.6,5764,"washington d.c., future, shield, marvel comic, superhero, based on comic book, captain america, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe, 3d, political thriller"
Shrek Forever After,"Comedy, Adventure, Fantasy, Animation, Family",165000000,44.041186,2010-05-16,752600867,93.0,6.0,1959,"ogre, 3d"
Tomorrowland,"Adventure, Family, Mystery, Science Fiction",190000000,130.311355,2015-05-19,209154322,130.0,6.2,2846,"inventor, apocalypse, destiny, imax, dreamer, futuristic car, futuristic city"
Big Hero 6,"Adventure, Family, Animation, Action, Comedy",165000000,203.73459,2014-10-24,652105443,102.0,7.8,6135,"brother brother relationship, hero, talent, revenge, best friend, another dimension, robot, boy genius, hate, aftercreditsstinger, moral dilemma, 3d, teen superheroes, dead brother"
Wreck-It Ralph,"Family, Animation, Comedy, Adventure",165000000,62.341073,2012-11-01,471222889,108.0,7.1,4570,"support group, product placement, bullying, racing, arcade, medal, self esteem, curiosity, precocious child, aftercreditsstinger, duringcreditsstinger, first person shooter, glitch, carefree, video gamer, q*bert, interrupted wedding, social reject"
The Polar Express,"Adventure, Animation, Family, Fantasy",165000000,47.323228,2004-11-10,305875730,100.0,6.4,1474,"santa claus, nerd, faith, gift, bell, beard, north pole, chute, trestle, ticket, christmas"
Independence Day: Resurgence,"Action, Adventure, Science Fiction",165000000,48.775723,2016-06-22,389681935,120.0,4.9,2491,"alternate history, alien invasion"
How to Train Your Dragon,"Fantasy, Adventure, Animation, Family",165000000,67.263269,2010-03-05,494878759,98.0,7.5,4227,"flying, blacksmith, arena, island, night, ship, training, village, forest, viking, friendship, ignorance, flight, nest, dragon, battle, combat, well, warrior"
Terminator 3: Rise of the Machines,"Action, Thriller, Science Fiction",200000000,69.405188,2003-07-02,435000000,109.0,5.9,2143,"saving the world, artificial intelligence, man vs machine, cyborg, killer robot, sun glasses, leather jacket, nanotechnology, rocket launcher, firemen, veterinarian, fire engine, dystopia, psychiatrist"
Guardians of the Galaxy,"Action, Science Fiction, Adventure",170000000,481.098624,2014-07-30,773328629,121.0,7.9,9742,"marvel comic, spaceship, space, outer space, orphan, adventurer, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe"
Interstellar,"Adventure, Drama, Science Fiction",165000000,724.247784,2014-11-05,675120017,169.0,8.1,10867,"saving the world, artificial intelligence, father son relationship, single parent, nasa, expedition, wormhole, space travel, famine, black hole, dystopia, race against time, quantum mechanics, spaceship, space, rescue, family relationships, farmhouse, robot, astronaut, scientist, father daughter relationship, single father, farmer, space station, imax, astrophysics, zero gravity, courage, time paradox, relativity"
Inception,"Action, Thriller, Science Fiction, Mystery, Adventure",160000000,167.58371,2010-07-14,825532764,148.0,8.1,13752,"loss of lover, dream, kidnapping, sleep, subconsciousness, heist, redemption, female hero"
シン・ゴジラ,"Action, Adventure, Drama, Horror, Science Fiction",15000000,9.476999,2016-07-29,77000000,120.0,6.5,143,"monster, godzilla, giant monster, destruction, kaiju, toyko"
The Hobbit: An Unexpected Journey,"Adventure, Fantasy, Action",250000000,108.849621,2012-11-26,1021103568,169.0,7.0,8297,"riddle, elves, dwarves, orcs, middle-earth (tolkien), hobbit, mountains, wizard, journey, ring, goblin, courage, giant, tunnel, underground lake, buried treasure, climbing a tree, invisibility, ancient, gnomes"
The Fast and the Furious,"Action, Crime, Thriller",38000000,6.909942,2001-06-22,207283925,106.0,6.6,3428,"street gang, car race, undercover, auto-tuning, los angeles, car, automobile racing, aftercreditsstinger, duringcreditsstinger"
The Curious Case of Benjamin Button,"Fantasy, Drama, Thriller, Mystery, Romance",150000000,60.269279,2008-11-24,333932083,166.0,7.3,3292,"diary, navy, funeral, tea, travel, hospital"
X-Men: First Class,"Action, Science Fiction, Adventure",160000000,3.195174,2011-05-24,353624124,132.0,7.1,5181,"cia, mutant, mine, marvel comic, superhero, based on comic book, superhuman, historical fiction, nuclear war, cuban missile crisis, world war iii, 1960s"
The Hunger Games: Mockingjay - Part 2,"Action, Adventure, Science Fiction",160000000,127.284427,2015-11-18,653428261,137.0,6.6,3984,"revolution, strong woman, dystopia, game of death, 3d, based on young adult novel"
The Sorcerer's Apprentice,"Fantasy, Adventure, Action, Comedy, Drama",150000000,35.580815,2010-07-13,215283742,109.0,5.8,1470,"witch, fire, wolf, fountain, magic, book, castle, water, apprentice, training, merlin, love, mission, sorcerer, dragon, aftercreditsstinger, apprendista, morgana"
Poseidon,"Adventure, Action, Drama, Thriller",160000000,21.133748,2006-05-12,181674817,99.0,5.5,583,"new year's eve, fire, drowning, cataclysm, loss of father, atlantic ocean, ball, self-abandonment, shipwreck, giant wave, blackout, ship, daughter, single, escape, capsized ship"
Alice Through the Looking Glass,Fantasy,170000000,56.268916,2016-05-25,299370084,113.0,6.5,1725,"based on novel, clock, queen, sequel, alice in wonderland, dark fantasy, mad hatter, 3d"
Shrek the Third,"Fantasy, Adventure, Animation, Comedy, Family",160000000,42.986467,2007-05-17,798958165,93.0,6.0,2278,"ambush, sadness, stage, liberation of prisoners, island, traitor, shipwreck, prince, ship, donkey, kingdom, theatre play, transformation, conciliation, tricks, heir to the throne, assault, boarding school, coup d'etat, teacher, best friend, dragon, cowardliness, pregnancy, capture, duringcreditsstinger"
Warcraft,"Action, Adventure, Fantasy",160000000,63.148529,2016-05-25,433677183,123.0,6.3,2268,"video game, elves, orcs, magic, chase, based on comic book, sorcerer, fictional war, based on video game, wizard, fictional language, muscles, orc, sword and sorcery"
Terminator Genisys,"Science Fiction, Action, Thriller, Adventure",155000000,202.042635,2015-06-23,440603537,126.0,5.8,3631,"saving the world, artificial intelligence, cyborg, killer robot, future, time travel, dystopia, sequel, fiction, duringcreditsstinger, 3d"
The Chronicles of Narnia: The Voyage of the Dawn Treader,"Adventure, Family, Fantasy",155000000,49.661984,2010-08-13,415686217,113.0,6.2,1514,"based on novel, magic, good vs evil, king, narnia, fantasy world, knife held to throat, snowing, quest"
Pearl Harbor,"History, Romance, War",140000000,34.20669,2001-05-21,449220945,183.0,6.6,1791,"nurse, patriotism, hawaii, world war ii, pilot, pearl harbor, u.s. air force, airplane, war, army, love, pin-up"
Transformers,"Adventure, Science Fiction, Action",150000000,25.468493,2007-06-27,709709780,144.0,6.6,4040,"destroy, transformation, alien, based on toy, transformers, robot, duringcreditsstinger, teenage hero"
Alexander,"War, History, Action, Adventure, Drama, Romance",155000000,39.019229,2004-11-21,167298192,175.0,5.6,927,"aristotle, egypt, greece, persia, elephant, campaign, alexander the great, homosexuality, gay relationship, ancient world"
Harry Potter and the Order of the Phoenix,"Adventure, Fantasy, Family, Mystery",150000000,78.144395,2007-06-28,938212738,138.0,7.4,5494,"prophecy, witch, loss of lover, magic, cutting the cord, child hero, dying and death, broom, sorcerer's apprentice, school of witchcraft, black magic, death of a friend, sorcery, occultism"
Harry Potter and the Goblet of Fire,"Adventure, Fantasy, Family",150000000,101.250416,2005-11-05,895921036,157.0,7.5,5608,"magic, dying and death, broom, sorcerer's apprentice, school of witchcraft, chosen one, black magic, boarding school, vision, tournament, teenager, wizard, teenage hero, based on young adult novel"
Hancock,"Fantasy, Action",150000000,56.758411,2008-07-01,624029371,92.0,6.2,2961,"flying, alcohol, love of one's life, forbidden love, lovers, affection, advertising expert, alcoholism, invulnerability, superhero, pokies, duringcreditsstinger"
I Am Legend,"Drama, Horror, Action, Thriller, Science Fiction",150000000,70.867401,2007-12-14,585349010,101.0,6.9,4853,"saving the world, lost civilisation, post-apocalyptic, dystopia, matter of life and death, alone, helplessness, virus, pandemic"
Charlie and the Chocolate Factory,"Adventure, Comedy, Family, Fantasy",150000000,53.905592,2005-07-13,474968763,115.0,6.7,3624,"london england, father son relationship, chocolate, factory worker, based on novel, parents kids relationship, candy, overweight child, grandfather grandson relationship, teacher"
Ratatouille,"Animation, Comedy, Family, Fantasy",150000000,65.677399,2007-06-22,623722818,111.0,7.5,4369,"paris, brother brother relationship, expensive restaurant, river, cook, mouse, confidence, roof, window, leaving one's family, work, restaurant critic, kitchen, spice, court, cookbook, family, chef, rat"
Batman Begins,"Action, Crime, Drama",150000000,115.040024,2005-06-10,374218673,140.0,7.5,7359,"himalaya, martial arts, dc comics, crime fighter, secret identity, undercover, hero, loss of father, society, gotham city, vigilante, superhero, based on comic book, rivalry, tragic hero, ninja, good vs evil, crime, super powers, haunted by the past, evil doctor, escapade, master villain, fighting crime, unfulfillment, love and romance, unfulfilled love"
Madagascar: Escape 2 Africa,"Family, Animation",150000000,44.141021,2008-10-30,603900354,89.0,6.2,1810,"africa, jealousy, dance, hunger, lion, zoo, hippopotamus, chimp, penguin, volcano, madagascar, airplane, zebra, sequel, shark, imax, duringcreditsstinger"
Night at the Museum: Battle of the Smithsonian,"Adventure, Fantasy, Action, Comedy, Family",150000000,81.781591,2009-05-20,413106170,105.0,5.9,1971,"museum, theodore roosevelt, duringcreditsstinger, amelia earhart, smithsonian"
X-Men Origins: Wolverine,"Adventure, Action, Thriller, Science Fiction",150000000,5.954334,2009-04-28,373062864,107.0,6.2,4021,"corruption, mutant, boxer, army, marvel comic, superhero, aftercreditsstinger, duringcreditsstinger"
